name
AGRO
ANTH
APPP
APSC
ARCO
ARTH
ASTR
BIOC
BIOL
CCS
CHEM
COOP
COSC
CRWR
CULT
CUST
DATA
DIHU
EADM
EAP
ECED
ECON
EDST
EDUC
EESC
ENGL
ENGR
EPSE
ETEC
EXCH
FDSY
FILM
FREN
GEOG
GERM
GERO
GISC
GREK
GWST
HEAL
HEBR
HINT
HIST
HMKN
IGS
INDG
JPST
LATN
LLED
MANF
MATH
MDST
MGCO
MGMT
MUSC
NRSG
PHIL
PHYS
POLI
PSYO
SCCO
SOCI
SOCW
SPAN
STAT
SUST
TEST
THTR
VANT
VGRS
VISA
VURS
WRLD
